pat_no,claim_no,claim_txt,dependencies,ind_flg,appl_id
3930331,6,6. An educational toy as defined in claim 2 in which one side of said cushion body is formed of a material providing a plurality of small filament loops suitable for engagement with decorative patches provided on their undersides with a material providing a multiplicity of small hooks.,2,0,
3930332,4,4. A rotating wing assembly as claimed in claim 3 wherein the lower rotor hub member has a top and bottom surface and the rear portion of said blade when inserted into said lower rotor hub member is flush with the top surface of said lower rotor hub member.,3,0,
3930332,10,"10. Rotor according to claim 7, wherein the lower rotor hub body is fixed frictionally or positively to the rotor shaft, whilst the upper rotor hub body is releasably secured to the lower body.",7,0,
3930332,3,3. A rotating wing assembly as claimed in claim 2 wherein said projections extend substantially perpendicularly to the longitudinal axis of said blade.,2,0,
3930332,8,8. A rotating wing assembly as claimed in claim 1 wherein the portions of said upper and lower rotor hub members which are in contact when said members are locked together are level.,1,0,
3930332,2,"2. A rotating wing assembly as claimed in claim 1 wherein each of said blades is provided with two pairs of projections, each projection in each said pair being oppositely opposed.",1,0,
3930332,1,"1. A rotating wing assembly for free flying toy helicopters comprising:upper and lower rotor hub members,at least two rotor blades, each of said blades having a rear portion adapted to be releasably insertible into said lower rotor hub member, said rear portion being provided with at least one projection extending laterally therefrom.said lower rotor hub member being provided with grooves adapted to receive said at least one projection,said upper rotor hub member being provided with connecting members adapted to releasably engage said lower rotor hub member so as to lock said upper and lower rotor hub members together and thereby lock said blades within said wing assembly when said upper rotor hub member is twisted with respect to said lower rotor hub member so as to cause said connecting members to engage said lower rotor hub member.",,1,
3930332,11,"11. A rotating wing assembly for free flying toy helicopters comprising:a blade having a shaped rear portion,upper and lower rotor hubs,said lower rotor hub being adapted to receive the shaped rear portion of said blade,said upper rotor hub having connecting members adapted to releasably engage said lower rotor hub when said upper rotor hub is placed in contact with said lower rotor hub and rotated with respect to said lower rotor hub about the axis thereof so as to lock said upper and lower rotor hubs together and said blades within said assembly.",,1,
3930332,7,"7. A rotating wing assembly as claimed in claim 1 wherein said lower rotor hub member is provided with an opening extending along the vertical axis thereof, said assembly further including a rotor shaft extending through said opening, said rotor shaft being provided with a head and wherein said upper rotor hub member includes a downwardly extending projection adapted to engage the head of said rotor shaft when said upper and lower rotor hub members are locked together.",1,0,
3930332,5,"5. A rotating wing assembly as claimed in claim 1 wherein the rear portion of said blade is provided with an additional projection, said additional projection depending from and extending rearwardly of said rear portion, and wherein said lower rotor hub member is provided with a socket adapted to receive said rearwardly extending projection.",1,0,
3930332,9,9. A rotating wing assembly as claimed in claim 8 wherein said assembly further includes a rotor shaft located within said lower rotor hub member and wherein said upper rotor hub member is provided with a downwardly extending projection adapted to engage said rotor shaft when said upper and lower rotor hub members are locked together so as to prevent axial shifting of said rotor shaft.,8,0,
3930332,6,6. A rotating wing assembly as claimed in claim 5 wherein at least a portion of said socket overlies said rearwardly extending projection.,5,0,
3930333,4,"4. A combination as recited in claim 3 wherein upon actuation of said external drive system in said opposite direction, and in cooperation with proper frictional forces on the sides of said toy vehicle, said external drive system will pass through said slot to disengage said toy vehicle from said external drive system.",3,0,
3930333,1,"1. In combination with a toy vehicle, a device for coupling said toy vehicle to an external drive system comprising:coupling means attached to said toy vehicle, said coupling means having an exaggerated triangularly-shaped portion for retaining a part of said external drive system to facilitate driving of said toy vehicle upon actuation of said external drive system, said exaggerated triangularly-shaped portion being located on the underside of said coupling means and comprising:1. a side wall located in proximity of the front end of said coupling means, said side wall having a raised portion, a front section, and a rear curve section;2. a rear side curved wall; and3. a slot located between said rear curve section and said rear side curved wall, the width of said slot being defined by the respective locations of said rear curve section and said rear side curved wall.",,1,
3930333,7,"7. In combination with a toy vehicle, a device for coupling said toy vehicle to an external drive system comprising:coupling means attached to said toy vehicle, said coupling means having an exaggerated triangularly-shaped portion for retaining a part of said external drive system to facilitate driving of said toy vehicle upon actuation of said external drive system, said coupling means including:1. a funnel-shaped portion; and2. a slot connecting said funnel-shaped portion to said exaggerated triangularly-shaped portion, said funnel-shaped portion being located to the rear of said exaggerated triangularly-shaped portion and also being closer to the rear end of said toy vehicle, and said funnel-shaped portion adapted to guide said external drive means in contact with said exaggerated triangularly-shaped portion upon proper actuation of said external drive means.",,1,
3930333,2,"2. A combination as recited in claim 1 wherein upon actuation of said external drive system in a first direction that would push said toy vehicle in its forward direction, the external drive system is urged against said side wall to drive said toy vehicle forward.",1,0,
3930333,3,"3. A combination as recited in claim 2 wherein upon actuation of said external drive system in an opposite direction, said external drive is urged against said rear side curved wall to drive said toy vehicle backwards.",2,0,
3930333,6,"6. A combination as recited in claim 1 which further includes a front wall at the extreme front end of said coupling means, said front wall adapted to come in contact with said external drive system to urge said toy vehicle in its backwards direction.",1,0,
3930333,5,"5. A combination as recited in claim 4 wherein upon the cessation of movement of said external drive system in its first direction, said external drive system will contact said rear side curved wall to stop the travel of said toy vehicle.",4,0,
3930334,9,9. A hanging apparatus as claimed in claim 5 including:each of the receptacles having a top edge which is circular;the top plant receptacle having a rounded bottom;the top edge of the top water receptacle engaging the rounded bottom of the top plant receptacle;the top water receptacle having a series of apertures for allowing the water to exit therefrom and drop to the bottom water receptacle.,5,0,
3930334,8,8. A hanging apparatus as claimed in claim 7 including:the top water receptacle having a series of apertures which serve as orifices for the water to drop to the bottom water receptacle; andthe apertures being arranged in a circular row.,7,0,
3930334,4,4. A hanging apparatus as claimed in claim 1 including:the plant receptacle and the top water receptacle each being a pot with an open top.,1,0,
3930334,3,3. A hanging apparatus as claimed in claim 1 including:the outermost lateral periphery of the bottom water receptacle being larger than the outermost lateral periphery of the top water receptacle.,1,0,
3930334,10,"10. A hanging apparatus as claimed in claim 9 including:the bottom water receptacle mounted within the interior of the bottom plant receptacle and having a top edge which is slightly below the top edge of the bottom plant receptacle,whereby the falls effect is water coming from the top plant receptacle and falling to the bottom plant receptacle when in reality the water is dropping from the top water receptacle to the bottom water receptacle.",9,0,
3930334,5,5. A hanging apparatus as claimed in claim 1 including:a bottom plant receptacle which is supported by said flexible supporting means in a location which is below the first mentioned plant receptacle; andthe bottom water receptacle having an outermost lateral periphery which is smaller than the outermost lateral periphery of the bottom plant receptacle and being located entirely within the outermost lateral periphery of the bottom plant receptacle.,1,0,
3930334,14,14. A hanging apparatus as claimed in claim 13 including:said support means comprising flexible ropes which extend substantially vertically between the lateral peripheries of the plant receptacle and the bottom water receptacle; the fluid transfer means comprising a submersible pump of the type having an inlet and an outlet located within the bottom water receptacle; anda tube connected to the pump outlet and extending along at least one of the flexible ropes and into the top water receptacle.,13,0,
3930334,11,11. A hanging apparatus as claimed in claim 1 including:the plant receptacle and the top water receptacle each having a top edge which is circular;the plant receptacle having a rounded bottom; andthe top edge of the top water receptacle engaging the rounded bottom of the plant receptacle.,1,0,
3930334,6,"6. A hanging apparatus as claimed in claim 5 including:each of the top and bottom plant receptacles having a top edge which is substantially circular, and the diameters across the edges of these receptacles being substantially equal.",5,0,
3930334,7,7. A hanging apparatus as claimed in claim 5 including:the bottom plant receptacle being annular with a center hole which has an inside top annular edge for receiving a bottom portion of the bottom water receptacle; anda bottom portion of the bottom water receptacle engaging the inside top annular edge of the bottom plant receptacle and being supported thereby.,5,0,
3930334,13,13. A hanging apparatus as claimed in claim 12 including:the outermost lateral periphery of the bottom water receptacle being substantially equal in size to the outermost lateral periphery of the plant receptacle.,12,0,
3930334,2,2. A hanging apparatus as claimed in claim 1 including:said flexible support means comprising flexible ropes extending between the top water and bottom water receptacles; the fluid transfer means comprisinga submersible pump of the type having an inlet and an outlet located within the bottom water receptacle; anda tube connected to the pump outlet and extending along at least one of the flexible ropes and into the top water receptacle.,1,0,
3930334,1,"1. A hanging waterfall and plant apparatus comprising: a pair of water receptacles; flexible means supporting and hanging the water receptacles in respective top and bottom positions with the top water receptacle hanging substantially directly above the bottom water receptacle; the top water receptacle having a plurality of openings therein for releasing water vertically downward in a free fall into the bottom water receptacle, the bottom water receptacle correspondingly shaped to the free fall of the water to provide an area for catching free falling water from the top water receptacle so as to enable a multiple waterfall effect; and flexible support means of the hanging apparatus located clear of the space where the water will fall so that the water will fall freely from the top water receptacle to the bottom water receptacle; at least one plant receptacle which is capable of supporting a hanging type plant; said flexible means also supporting and hanging the plant receptacle centrally above and superjacent with respect to the top water receptacle; the plant receptacle having an outermost lateral periphery which is larger than the outermost lateral periphery of the top water receptacle so that a hanging plant can extend over said periphery of the plant receptacle and drape in space which is outward from the periphery of the top water receptacle; and fluid transfer means for fluid communication between said bottom and top water receptacles only, including pump means; the plant receptacle not in fluid communication with said water receptacles, whereby upon pumping water from the bottom water receptacle to the top water receptacle a waterfall and a hanging plant can be displayed in combination without interfering with one another.",,1,
3930334,12,12. A hanging apparatus as claimed in claim 11 including:the plant receptacle and the bottom water receptacle each being a pot with an open top.,11,0,
3930335,1,"1. A method of growing higher order plant life under controlled conditions comprising using an active electronic source to pulse on and off first and second groups of lamps each comprising a plurality of gas discharge lamps operating in the arc discharge region, so as to provide the plant life being grown with controlled bursts of radiant energy within the spectral ranges required for photosynthesis, said first group of lamps being driven so as to produce a spectral energy distribution only in the blue energy band of the photosynthetic absorption curve for the plant life being grown and said second group of lamps being driven so as to provide a spectral energy distribution only in the red energy band of the photosynthetic absorption curve for the plant life being grown, said method further comprising controlling the duration of the blue energy band and red energy band pulses and the time delay between said pulses so that separation of the effects of the said pulses on the photosynthetic process of the plant life being grown is provided, at least one pulse of one band being interspersed with pulses of the other band.",,1,05507152
3930336,1,"1. A window construction comprising upper and lower sashes slidably mounted in a surrounding jamb, each sash comprising a pair of spaced side stiles and upper and lower stiles extending therebetween, said lower sasy being pivotally mounted for tilting movement to an open position, latch means mounted on the top surface of the upper stile of said lower sash, and bail-like retaining means mounted on the lower stile of said upper sash, means pivotally mounting said latch means for movement between a first inoperative position and a second position wherein said latch means interengage said retaining means to lock said sashes against vertical sliding movement, and means for limiting the tilting movement of said lower sash, said limiting means comprising a strap member having one end pivotally mounted on the top surface of the upper stile of said lower sash by the same aforesaid means that pivotally mount said latch means thereon, whereby said strap member may be selectively pivotally moved between an inoperative position wherein it extends longitudinally along said upper stile, to an operative position wherein it extends perpendicularly from said upper stile, said strap member being of flexible metallic construction and having a hook-like extremity adapted to releasably interengage with said bail-like retaining member when the strap is in its operative position to limit tilting movement of said lower sash, and means on said upper stile for limiting pivoting movement of said strap member to a position approximately perpendicular to said upper stile whereby to facilitate and expedite alignment of said strap member with said retaining means.",,1,
3930337,1,"1. In a window regulator or winder for motor vehicles, of the type comprising a curved window, a glass-supporting bottom channel, a pair of movable parallel links incorporated in a parallel motion system and having one end pivotally fixed to said glass-supporting bottom channel, a front run channel and a rear run channel in which said window is movable by means of a pinion-crank and gear mechanism, the front run channel being rigid with a guide rail having a radius of curvature in a vertical plane matching that of said window and having upper and lower end portions inclined to the vertical with unequal angles, the upper end portion being inclined upwards and the lower end portion being inclined downwards, said end portions being interconnected by a curved portion having said radius of curvature in said vertical plane, said rail reproducing the combined longitudinal and transverse movements of said glass-supporting bottom channel, and a rolling member carried by said glass-supporting bottom channel engaging said guide rail rigid with said front run channel, one of said links having one end pivoted to a fixed point of said glass-supporting bottom channel and the other end pivoted to a pivot pin of a fixed plate supporting the control mechanism, the other link being rigid with a rotary member operatively connected to the control mechanism and pivoted on one side through a rolling member to the glass-supporting bottom channel and on the other side to a pin rigid with said plate.",,1,
3930337,2,"2. Window regulator as set forth in claim 1, wherein said guide rail has curved end portions inclined to the vertical with unequal angles, said inclined portions being interconnected by a curved portion constituting a straight portion when seen in vertical projection.",1,0,
3930337,3,"3. Window regulator as set forth in claim 1, wherein said rolling member consists of part-spherical rollers.",1,0,
3930337,5,"5. A window regulator as set forth in claim 4, wherein the run channels and guide rails are jointly secured to the window structure by means of adjustment wedges.",4,0,
3930337,4,"4. Window regulator as set forth in claim 1, wherein said front run channel receives the lower front portion of the window, and said rear run channel is engaged by the upper rear portion of the window.",1,0,
3930338,6,6. A removable access door assembly as defined by claim 5 wherein the V-shaped spring-clip is secured to a cover plate backing member.,5,0,
3930338,7,"7. A removable access door assembly as defined by claim 6 wherein each cover plate mounting means comprises a locking plate member supported by the inner flange means of said mounting member and extending toward the center of the opening, said plate member including slot means for receiving said spring-clip.",6,0,
3930338,5,5. A removable access door assembly as defined by claim 4 wherein the cover plate fastening means is a V-shaped spring-clip.,4,0,
3930338,1,"1. A removable access door assembly for covering an opening in a wall panel, said access door assembly comprising in combination:a first member mounted on a first side of said opening and a second member mounted on a second side of said opening, said second side being opposite said first side, and said members not being connected;each member including flange means for securing said member to the wall panel surface;a cover plate mounting means supported on each of said members;a cover plate dimensioned larger than said opening and adapted completely to overlie said opening and said flange means of said members; anda pair of cover plate fastening means extending from the inner surface of said cover plate and engageable with said mounting means for interconnecting said door member and said members.",,1,
3930338,4,4. A removable access door assembly as defined by claim 3 wherein the means for securing the cover plate fastening means to the cover plate comprises a sheet of rigid material secured to an inside face of the cover plate.,3,0,
3930338,2,2. A removable access door assembly as defined by claim 1 wherein each mounting member further includes a protrusion for frictionally engaging the wall panel near the opening.,1,0,
3930338,3,3. A removable access door assembly as defined by claim 1 which further includes means for securing the cover plate fastening means to the cover plate.,1,0,
3930339,1,"1. In a window regulator, especially for automobiles, in which the window is connected to a drive by a cable capable of moving axially in a tubular guide, a portion of which guide extends parallel to the window path and in an arc adjoining thereto, whereby the path of a catch secured to the cable and serving for connecting to the window is not restricted to the section of the tubular guide which is oriented parallel to the window path, but extends at least partially over the region of the arc, and wherein the connection between the catch and the window comprises a bracket having a slide-guide extending transversely to the window path, the improvement including a slide-block slidably and non-rotatably disposed in the slide-guide, a cylindrical passage through the slide-block, a cylindrical bolt disposed in the passage, the bolt being fixedly and non-rotationally secured to the catch, and the bolt having an annular shoulder for limiting axial displacement between the slide-block and bolt.",,1,
3930339,2,"2. A window regulator according to claim 1, wherein the slide-block is substantially rectangular, and the diameter of the cylindrical passage and the correspondingly selected diameter of the cylindrical bolt are only slightly smaller than the external dimension of the slide-block.",1,0,
3930339,3,"3. A window regulator according to claim 1, wherein the slide-block has grooved sliding surfaces, and the slide quide is defined by guiding edges which slidably engage the grooved sliding surfaces.",1,0,
3930339,4,"4. A window regulator according to claim 1, wherein the portion of the tubular guide extending parallel to the window path is securely connected to a central guide bar extending parallel thereto and mounted in the window shaft, a slider element being adapted to slide on the guide bar, the slider element being connected to the window, the catch being in engagement with the slider element, and the slide-guide being mounted in the slider element.",1,0,
3930340,2,"2. A machine as claimed in claim 1 in which the plate of magnetic material is sandwiched between a pair of disc plates each of which is larger in cross-sectional area than the magnetized plate but less than the inner cross-sectional area of the passage, with the disc plate in the upstream direction being smaller in cross-sectional area than the disc plate on the opposite side of the magnetic plate whereby the space about the valve member is substantially of conical shape when in closed position.",1,0,
3930340,4,"4. A machine as claimed in claim 1 which includes an enclosure that extends to one side of the passage and in which the valve member is mounted for rocking movement between closed position, in the path of the passage, and open position to one side of the passage.",1,0,
3930340,5,5. A machine as claimed in claim 4 in which the valve member extends horizontally into the path of the passage in closed position and vertically to one side of the passage in open position.,4,0,
3930340,3,3. A machine as claimed in claim 2 in which the disc plate facing in the upstream direction is formed with a lip portion about the periphery which extends in the upstream direction to define a recess in the body portion of the plate which becomes covered with abrasive material.,2,0,
3930340,1,"1. In an abrasive blasting machine in which a magnetically attractable abrasive material is fed from a supply to a blasting member through a feed passage, a valve member mounted in cooperation with the feed passage for movement between closed position across the feed passage and open position out of the path of the feed passage, said valve member comprising a plate formed of magnetized material having a cross-section generally corresponding to the cross-section of the feed passage but having a cross-sectional area less than that of the feed passage to provide a spaced relation about the valve member when in closed position, but which becomes filled to close the passage by abrasive material which is attracted to the valve plate to close the passage, and means for movement of the valve member between open and closed positions.",,1,
3930341,10,"10. Truing device as in claim 9, characterized in that there is arranged on each collar a toothed sector that engages with an endless screw driven by a suitable mechanism at variable speed, each endless screw being mounted in rotation in bearings rigidly connected with a sleeve engaged about a fixed vertical shaft that is rigidly connected to the base, the lower part of the said sleeve resting by means of a wheel on an arm rigidly connected with the lower collar or with each collar.",9,0,
3930341,12,"12. Truing apparatus as in claim 11, characterized in that the means for control of the movements of each collar comprises a reader of the movement of the sleeve in the vertical direction, and a system for controlling the angular movement of each collar.",11,0,
3930341,6,"6. Truing apparatus as in claim 4, characterized in that the two collars are slidably mounted on the column independently of each other, being moved by the far effecting axial sliding means.",4,0,
3930341,1,"1. Universal vertical truing apparatus, comprising, in combination:a horizontal base supporting at least one workpiece carrier device;a vertical column centered on the base;at least one collar rotatably mounted with reference to the column and provided with at least one head comprising a grinder-carrier spindle supporting a grinder adjacent the workpiece carrier device;means for effecting axial sliding of the collar along the column in a reciprocating manner;means separate from the means for effecting for rotating the collar about the column; andmeans for controlling the movements of the collar.",,1,
3930341,3,"3. Truing device as in claim 2, characterized in that the collar comprises a number of grinder-carrier heads corresponding to the number of workpiece carrier devices.",2,0,
3930341,13,"13. Truing apparatus as in claim 1, characterized in that two collars are rotatably mounted with reference to the column, each of the collars being provided with at least one head comprising a grinder-carrier spindle supporting a grinder adjacent the workpiece carrier device, the collars rotating independently in opposite directions, the workpiece carrier device being mounted for rotation, and the trajectories of movement of geometric axes of the grinder-carrier spindles passing through a center of rotation of the workpiece carrier device.",1,0,
3930341,11,"11. Truing apparatus as in claim 10, characterized in that there is placed on the base and between the workpiece carrier devices as many regrinder organs as there are grinder carrier heads.",10,0,
3930341,2,"2. Truing apparatus as in claim 1, characterized in that the base is provided with a plurality of workpiece holder devices distributed equally about the column.",1,0,
3930341,4,"4. Truing device as in claim 3, characterized in that the column is furnished with two collars that rotate independently in opposite directions, each of the collars being provided with a number of grinder-carrier heads that corresponds to the number of workpiece carrier devices.",3,0,
3930341,9,"9. Truing device as in claim 5, characterized in that at least the lower collar rests by means of an appropriate stop on the arms of a disk whose center, coinciding with that of the column, is arranged so as to constitute a piston cooperating with a fixed cylinder suitably connected to a source of pressurized fluid, to allow the vertical reciprocating motion of the collar in question along the above mentioned column.",5,0,
3930341,5,"5. Truing apparatus as in claim 4, characterized in that the two collars are mounted in application one above the other by means of suitable bearings disposed between them, the lower collar being connected to means for making it axially slidable.",4,0,
3930341,8,"8. Truing apparatus as in claim 4, characterized in that athe trajectories of movement of the geometric axis of each grinder carrier spindle pass through a center of rotation of the workpiece carrier devices.",4,0,
3930341,7,"7. Truing apparatus as in claim 2, characterized in that the workpiece carrier devices that are distributed equally about the column severally comprise a horizontal plate turning by means of suitable drives.",2,0,
3930342,9,"9. The apparatus for grinding twist drills or the like set forth in claim 8 wherein the means for mounting the pivot rod on the frame includes first bearing block means supported for swinging movement about said swinging axis and second bearing block means mounted for movement toward and away from the surface of the grinding wheel means, said pivot rod being engaged by said first and second bearing block means at spaced apart locations.",8,0,
3930342,20,"20. The apparatus for grinding twist drills or the like set forth in claim 19 further characterized by the provision of eye shield means mounted on one of the housing portions adjacent said one end thereof, said electric motor drives the periphery of said grinding wheel adjacent said eye shield away from said eye shield.",19,0,
3930342,6,6. The apparatus for grinding twist drills or the like set forth in claim 4 further characterized by the provision of rotary means operable to rotate said cam or cam follower interconnected with the frame relative to the frame whereby linear motion may be imparted to said pivot rod during rotation of said cam or cam follower.,4,0,
3930342,24,24. An apparatus for grinding twist drills or the like comprising:a rotary abrasive member;means to hold twist drills or the like with the leading end of the twist drill in contact with the surface of the rotary abrasive member;a pivot rod upon which said holding means is mounted;means mounting said pivot rod at the first location remote from the rotary abrasive member for enabling oscillating motion about the axis of said pivot rod;means mounting said pivot rod at a second location enabling swinging movement of said pivot rod toward and away from the rotary abrasive member about an axis perpendicular to and intersecting the axis of said pivot rod.,,1,
3930342,13,"13. The apparatus for grinding twist drills or the like set forth in claim 12 wherein means are provided to hold said sleeve member from rotational movement with respect to said frame, said pivot rod being rotatable within said sleeve member when said sleeve member is being so held to cause said holding means supported by said pivot rod to be guided in a spiral path.",12,0,
3930342,15,"15. The apparatus for grinding twist drills or the like set forth in claim 14 wherein said means for mounting a portion of the pivot rod within the housing for oscillating and longitudinal shifting motion includes a sleeve member mounted for rotational movement about its axis relative to said housing and operable upon rotation relative to said pivot rod to impart longitudinal shifting motion to said pivot rod, said sleeve member having a handle portion which projects outwardly of said housing to the other end of said housing.",14,0,
3930342,8,"8. An apparatus for grinding twist drills or the like, said apparatus comprising;a frame;grinding wheel means supported for rotational movement about its axis on said frame;means operable to hold twist drills or the like or tools for dressing the grinding wheel means with the leading end of the twist drill or the like or the dressing tool being disposable in a position in contact with the surface of said grinding wheel means;a pivot rod;means operable to mount said holding means on said pivot rod; andmeans mounting said pivot rod on said frame for oscillating movement of said pivot rod about the axis of the pivot rod and for swinging motion of said pivot rod about a swinging axis generally perpendicular to and intersecting the axis of the pivot rod and generally parallel to the surface of the grinding wheel means which is contacted by the leading end of the twist drills or the like whereby said holding means can be moved toward and away from the surface of said grinding wheel means so that the leading end of the twist drills or the like can be advantageously ground as the grinding wheel means is reduced due to wear and dressing of the grinding wheel means.",,1,
3930342,26,"26. An apparatus for grinding the leading edges of two-fluted twist drills to provide two cutting edges on the opposite sides of the center point thereof comprising:a rotary abrasive member;means to hold the twist with a portion of the lead end of the twist drill in contact with a surface of the rotary abrasive member;means to locate said twist drill within said holding means;means to guide said holding means for spiral motion about an axis generally parallel to said surface of said rotary abrasive member, said spiral motion including oscillation about and straight line reciprocating along said axis, whereby to traverse one of said cutting edges across said abrasive member for sharpening; andmeans for indexing said twist drill 180.degree. within said holding means to enable the other cutting edge of said twist drill to be traversed by said guiding means along the same path as said one cutting edge.",,1,
3930342,11,11. The apparatus for grinding twist drills or the like set forth in claim 8 further characterized by the provision of means to impart longitudinal linear motion to said pivot rod.,8,0,
3930342,14,"14. An apparatus for grinding twist drills or the like, said apparatus comprising:a housing;a grinding wheel disposed adjacent one end of said housing;drive means mounted within said housing and operable to rotate said grinding wheel about its axis;a pivot rod;means mounting a portion of the pivot rod within said housing for oscillating motion about its axis and constructed to cause longitudinal shifting motion of said rod along its axis automatically in response to said oscillating motion, the axis of said pivot rod lying in a plane which passes through the axis of the grinding wheel, and one end of said pivot rod extending outside of one end of said housing;means to hold the twist drill or the like; andmeans mounting said holding means on said one end of said pivot rod.",,1,
3930342,30,"30. An apparatus for grinding twist drills or the like, said apparatus comprising:a frame;grinding wheel means supported on said frame;holding means operable to hold twist drills or the like with the leading end of the twist drill or the like being disposable in a position in contact with the surface of said grinding wheel means;locator means mounted on said holding means, said locator means having a leading edge maintained in engagement with the sidewall of one of the flutes of said twist drill or the like adjacent the leading end thereof during the grinding of said twist drill or the like, said leading edge being resiliently supported and biased to establish line contact with the sidewall of each flute of the drill bits, the lines of contact for drill bits of different diameters and web thicknesses being parallel; andmeans mounting said holding means on said frame for movement toward and away from said surface, the leading edge of said locator being adapted to be disposed a predetermined distance away from the surface of the grinding wheel means when the twist drill or the like has been properly ground.",,1,
3930342,4,"4. An apparatus for grinding twist drills or the like comprising:a frame;grinding wheel means carried by said frame;means to hold a twist drill or the like with the leading end of the twist drill or the like to contact with the surface of said grinding wheel means; andinterconnecting means operable to interconnect said holding means with said frame in such a manner that spiral motion is imparted to the holding means while the leading end of the twist drill or the like is maintained in contact with said surface of said grinding wheel means, said interconnecting means including a pivot rod, means journaling said pivot rod on said frame for oscillating movement about the axis of the pivot rod, said axis being generally parallel to the suface of said grinding wheel means, a cam, and a cam follower, one of said cam and cam follower being mounted on said pivot rod and the other of said cam and cam follower being interconnected with said frame, the cam and cam follower imparting spiral motion to said pivot rod when it is oscillated about its axis, said spiral motion including oscillation about and straight line reciprocation along said axis.",,1,
3930342,10,"10. The apparatus for grinding twist drills or the like set forth in claim 8 further characterized by the provision of a twist drill locator, said locator being mounted on said holding means and projecting toward said grinding wheel means, the leading end of said locator engaging the side of one of the flutes of the twist drill or the like and being adapted to be disposed a predetermined distance away from the surface of the grinding wheel means when the twist drill or the like has been properly ground.",8,0,
3930342,3,"3. The apparatus for grinding twist drills or the like set forth in claim 2 wherein said means to impart spiral motion to said pivot rod is a gear fixedly secured to said pivot rod, said gear having outwardly extending spiral teeth, and a sleeve member adapted to be held in fixed orientation relative to said rotary abrasive member, said sleeve member having internal teeth which cooperate with the teeth on said gear.",2,0,
3930342,22,"22. An apparatus for grinding twist drills or the like comprising:a clam-shell housing including two housing portions having mating edges;an electric motor mounted within said housing, said electric motor driving an output shaft which projects outwardly of one end of said housing;a grinding wheel mounted upon said output shaft and spaced adjacent said one end of said clam-shell housing;a pivot rod;first and second bearing block means mounted within said clam-shell housing and operable to support spaced apart portions of said pivot rod, one end of said pivot rod projecting outwardly of said one end of said clam-shell housing;rotatable sleeve means interconnectable with said pivot rod to impart longitudinal motion to said pivot rod in response to rotation of said sleeve member, said sleeve member having a handle portion projecting outwardly of the other end of said clam-shell housing, said sleeve member carrying a flange portion journaled in said first bearing block means, and further characterized by the provision of means to lock said flange portion from rotation within said bearing block, said locking means including manually engageable means projecting outwardly of said housing between the ends of said housing;a chuck adapted to hold twist drills or the like of varying diameters; andmeans operable to mount said chuck on said one end of said pivot rod whereby twist drills or the like carried by said chuck may be brought into contact with the generally cylindrical outer periphery of said grinding wheel.",,1,
3930342,12,"12. The apparatus for grinding twist drills or the like set forth in claim 11 wherein the means for imparting longitudinal motion to said pivot rod includes a sleeve member journaled for rotational movement about its axis, said sleeve member being provided with internal spirally disposed teeth, and wherein corresponding spirally disposed teeth are carried by said pivot rod in engagement with said teeth on said sleeve member.",11,0,
3930342,17,"17. An apparatus for grinding twist drills or the like comprising:a clam-shell housing including two housing portions having mating edges;an electric motor mounting within said housing, said electric motor driving an output shaft which projects outwardly of one end of said housing;a grinding wheel mounted upon said output shaft and spaced adjacent said one end of said clam-shell housing;a pivot rod;first and second bearing block means mounted within said clam-shell housing and operable to support spaced apart portions of said pivot rod, one end of said pivot rod projecting outwardly of said one end of said clam-shell housing;rotatable sleeve means interconnectable with said pivot rod to impart automatic longitudinal motion to said pivot rod in response to rotation of said sleeve member, said sleeve member having a handle portion projecting outwardly of the other end of said clam-shell housing;a chuck adapted to hold twist drills or the like of varying diameters; andmeans operable to mount said chuck on said one end of said pivot rod whereby twist drills or the like carried by said chuck may be brought into contact with the generally cylindrical outer periphery of said grinding wheel.",,1,
3930342,7,"7. The apparatus for grinding twist drills or the like set forth in claim 6 further characterized by the provision of second cam follower means mounted on said pivot rod, and linearly extending cam track means engagable by said second cam follower means, the parts being so arranged and constructed that when the second cam follower means engages the linear extending cam track linear motion will be imparted to said pivot rod during rotation of the rotary means.",6,0,
3930342,28,"28. A low-cost, compact drill bit sharpener for accurate grinding of cutting edges shaped for maximum drilling rates on the leading edges of multiple-fluted twist drills comprising:a housing including a front housing portion and a rear housing portion;a rotary abrasive member partially exposed at one end of said housing;drive means for said member enclosed within said housing;holding means for supporting twist drills with one of the cutting edges thereof presented to said member;pivot rod means supported in said housing, said holding means being mounted on said pivot rod;means for guiding said pivot rod and said holding means for oscillation about the axis of said pivot rod to successively present incremental portions of said cutting edge to said rotary abrasive member for sharpening thereof;means fur successively indexing and twist drill within said holding means to present successive cutting edges to said member;means interconnected with said pivot rod for swinging said pivot rod about an axis perpendicular to and intersecting the axis of said pivot rod to feed said twist drill into said member; andmeans interconnected with said pivot rod causing simple linear motion of said pivot rod along its axis to enable alongment of the surface of said rotary abrasive member with said pivot rod axis.",,1,
